,feature_selection_method,imbalance_method,model,accuracy,f1_score,precision,recall,auc,f_beta
0,VIF,ROS,xgb_tuned,0.8314,0.26285,0.1602,0.8151999999999999,0.82355,0.5605500000000001
1,VIF,ROS,xgb,0.952,0.35975,0.38255,0.3913,0.68145,0.3797
2,VIF,ROS,rf_tuned,0.9465,0.4599,0.3587,0.66305,0.8097000000000001,0.6065499999999999
3,VIF,ROS,rf,0.9659,0.0566,0.2143,0.0326,0.51555,0.03565
4,VIF,ROS,svm_tuned,0.86145,0.2577,0.1862,0.55435,0.7132499999999999,0.42364999999999997
5,VIF,ROS,svm,0.9215500000000001,0.14705,0.09115,0.38045,0.66045,0.2888
6,VIF,RUS,xgb_tuned,0.85085,0.28185,0.1726,0.82605,0.8389,0.5869
7,VIF,RUS,xgb,0.952,0.35975,0.38255,0.3913,0.68145,0.3797
8,VIF,RUS,rf_tuned,0.94465,0.42769999999999997,0.34655,0.6087,0.7825500000000001,0.5553
9,VIF,RUS,rf,0.9663,0.0893,0.25,0.05435,0.52625,0.05895
10,VIF,RUS,svm_tuned,0.8552,0.2348,0.1884,0.54345,0.70475,0.38554999999999995
11,VIF,RUS,svm,0.9215500000000001,0.14705,0.09115,0.38045,0.66045,0.2888
12,VIF,SMOTE,xgb_tuned,0.77675,0.2523,0.1545,0.85865,0.8163,0.5474
13,VIF,SMOTE,xgb,0.952,0.35975,0.38255,0.3913,0.68145,0.3797
14,VIF,SMOTE,rf_tuned,0.9351,0.42865,0.3618,0.65215,0.7986,0.5729
15,VIF,SMOTE,rf,0.9663,0.0893,0.25,0.05435,0.52625,0.05895
16,VIF,SMOTE,svm_tuned,0.8189,0.23975,0.16085,0.59785,0.7121999999999999,0.43265
17,VIF,SMOTE,svm,0.9215500000000001,0.14705,0.09115,0.38045,0.66045,0.2888
18,VIF,ADASYN,xgb_tuned,0.90985,0.33309999999999995,0.22465000000000002,0.6630499999999999,0.7907500000000001,0.5507500000000001
19,VIF,ADASYN,xgb,0.952,0.35975,0.38255,0.3913,0.68145,0.3797
20,VIF,ADASYN,rf_tuned,0.92085,0.38734999999999997,0.2631,0.73915,0.8331,0.6249
21,VIF,ADASYN,rf,0.9663,0.0893,0.25,0.05435,0.52625,0.05895
22,VIF,ADASYN,svm_tuned,0.88965,0.17055,0.24130000000000001,0.2609,0.5862499999999999,0.21115
23,VIF,ADASYN,svm,0.9215500000000001,0.14705,0.09115,0.38045,0.66045,0.2888
24,VIF,SMOTEENN,xgb_tuned,0.8882,0.32365,0.20355,0.79345,0.8425,0.6143000000000001
25,VIF,SMOTEENN,xgb,0.9626,0.1951,0.2222,0.1739,0.582,0.1778
26,VIF,SMOTEENN,rf_tuned,0.8933500000000001,0.32989999999999997,0.21245,0.76085,0.8293999999999999,0.59985
27,VIF,SMOTEENN,rf,0.9648000000000001,0.08335,0.17855,0.05435,0.52545,0.0584
28,VIF,SMOTEENN,svm_tuned,0.49229999999999996,0.2009,0.1714,0.6848,0.5851999999999999,0.3106
29,VIF,SMOTEENN,svm,0.9179,0.14115,0.08665,0.38045,0.65855,0.2841
30,VIF,Without_balance,xgb_tuned,0.8412999999999999,0.2826,0.17795,0.80435,0.82345,0.5668500000000001
31,VIF,Without_balance,xgb,0.9626,0.1951,0.2222,0.1739,0.582,0.1778
32,VIF,Without_balance,rf_tuned,0.91715,0.375,0.28635,0.663,0.79455,0.55635
33,VIF,Without_balance,rf,0.9648000000000001,0.08335,0.17855,0.05435,0.52545,0.0584
34,VIF,Without_balance,svm_tuned,0.94025,0.18035,0.12045,0.3587,0.6596,0.29945
35,VIF,Without_balance,svm,0.9179,0.14115,0.08665,0.38045,0.65855,0.2841
36,VIF + SFS,ROS,xgb_tuned,0.83395,0.25745,0.1543,0.8151999999999999,0.8249500000000001,0.5628
37,VIF + SFS,ROS,xgb,0.9549,0.23575000000000002,0.29685,0.19565,0.5885499999999999,0.20255
38,VIF + SFS,ROS,rf_tuned,0.8526499999999999,0.3024,0.1905,0.8369500000000001,0.8451,0.6006
39,VIF + SFS,ROS,rf,0.9659,0.13845,0.23685,0.09785,0.5469999999999999,0.10395
40,VIF + SFS,ROS,svm_tuned,0.1052,0.0703,0.036449999999999996,1.0,0.53695,0.2742
41,VIF + SFS,ROS,svm,0.9245000000000001,0.16385,0.10155,0.4239,0.68295,0.3218
42,VIF + SFS,RUS,xgb_tuned,0.4835,0.17625,0.1056,0.86955,0.6698,0.41515
43,VIF + SFS,RUS,xgb,0.9549,0.23575000000000002,0.29685,0.19565,0.5885499999999999,0.20255
44,VIF + SFS,RUS,rf_tuned,0.8794,0.30674999999999997,0.19119999999999998,0.7826,0.8327,0.5962
45,VIF + SFS,RUS,rf,0.9663,0.1406,0.25,0.09785,0.5472,0.10415
46,VIF + SFS,RUS,svm_tuned,0.92415,0.15745,0.0979,0.40215,0.67225,0.3068
47,VIF + SFS,RUS,svm,0.9245000000000001,0.16385,0.10155,0.4239,0.68295,0.3218
48,VIF + SFS,SMOTE,xgb_tuned,0.8343,0.25755,0.1553,0.80435,0.81985,0.5569
49,VIF + SFS,SMOTE,xgb,0.9549,0.23575000000000002,0.29685,0.19565,0.5885499999999999,0.20255
50,VIF + SFS,SMOTE,rf_tuned,0.8409,0.28765,0.17980000000000002,0.83695,0.839,0.5855
51,VIF + SFS,SMOTE,rf,0.9663,0.1406,0.25,0.09785,0.5472,0.10415
52,VIF + SFS,SMOTE,svm_tuned,0.9256,0.1631,0.1016,0.41305,0.67825,0.31615
53,VIF + SFS,SMOTE,svm,0.9245000000000001,0.16385,0.10155,0.4239,0.68295,0.3218
54,VIF + SFS,ADASYN,xgb_tuned,0.83905,0.2582,0.15389999999999998,0.8151999999999999,0.82755,0.56735
55,VIF + SFS,ADASYN,xgb,0.9549,0.23575000000000002,0.29685,0.19565,0.5885499999999999,0.20255
56,VIF + SFS,ADASYN,rf_tuned,0.74195,0.2686,0.19125,0.7935,0.7667999999999999,0.4818
57,VIF + SFS,ADASYN,rf,0.9663,0.1406,0.25,0.09785,0.5472,0.10415
58,VIF + SFS,ADASYN,svm_tuned,0.78925,0.0699,0.0378,0.4674,0.6339,0.2187
59,VIF + SFS,ADASYN,svm,0.9245000000000001,0.16385,0.10155,0.4239,0.68295,0.3218
60,VIF + SFS,SMOTEENN,xgb_tuned,0.8457,0.28055,0.1726,0.8151999999999999,0.831,0.57925
61,VIF + SFS,SMOTEENN,xgb,0.9516,0.36285,0.33425,0.40215,0.68645,0.39315
62,VIF + SFS,SMOTEENN,rf_tuned,0.79175,0.24735000000000001,0.14775,0.8804000000000001,0.8346,0.56215
63,VIF + SFS,SMOTEENN,rf,0.96335,0.1625,0.1912,0.1413,0.56665,0.1451
64,VIF + SFS,SMOTEENN,svm_tuned,0.9344,0.2649,0.33394999999999997,0.337,0.6461,0.306
65,VIF + SFS,SMOTEENN,svm,0.92045,0.15665,0.09605,0.4239,0.68085,0.31605
66,VIF + SFS,Without_balance,xgb_tuned,0.8259,0.2516,0.1489,0.83695,0.83125,0.567
67,VIF + SFS,Without_balance,xgb,0.9516,0.36285,0.33425,0.40215,0.68645,0.39315
68,VIF + SFS,Without_balance,rf_tuned,0.77495,0.23435,0.13945,0.86955,0.8206,0.54085
69,VIF + SFS,Without_balance,rf,0.96335,0.1625,0.1912,0.1413,0.56665,0.1451
70,VIF + SFS,Without_balance,svm_tuned,0.9344,0.1285,0.08645,0.25,0.60415,0.21025
71,VIF + SFS,Without_balance,svm,0.92045,0.15665,0.09605,0.4239,0.68085,0.31605
72,Whole_Feature,ROS,xgb_tuned,0.7643,0.2217,0.13165,0.8369500000000001,0.79935,0.5151
73,Whole_Feature,ROS,xgb,0.9662999999999999,0.33645,0.48639999999999994,0.26085,0.6259,0.273
74,Whole_Feature,ROS,rf_tuned,0.9358500000000001,0.4429,0.31489999999999996,0.75,0.84615,0.65815
75,Whole_Feature,ROS,rf,0.9652000000000001,0.05455,0.16665,0.0326,0.51515,0.03545
76,Whole_Feature,ROS,svm_tuned,0.88785,0.13875,0.30755,0.3696,0.63775,0.2551
77,Whole_Feature,ROS,svm,0.9278,0.15835,0.1,0.38045,0.6636500000000001,0.2971
78,Whole_Feature,RUS,xgb_tuned,0.86365,0.27054999999999996,0.1651,0.75,0.8088,0.5535
79,Whole_Feature,RUS,xgb,0.9662999999999999,0.33645,0.48639999999999994,0.26085,0.6259,0.273
80,Whole_Feature,RUS,rf_tuned,0.92045,0.39935,0.2817,0.7391000000000001,0.833,0.62385
81,Whole_Feature,RUS,rf,0.9659,0.07275,0.2222,0.0435,0.5207999999999999,0.0473
82,Whole_Feature,RUS,svm_tuned,0.95895,0.36014999999999997,0.41664999999999996,0.34785,0.66405,0.34795
83,Whole_Feature,RUS,svm,0.9278,0.15835,0.1,0.38045,0.6636500000000001,0.2971
84,Whole_Feature,SMOTE,xgb_tuned,0.86805,0.28905,0.1769,0.7935,0.83205,0.58755
85,Whole_Feature,SMOTE,xgb,0.9662999999999999,0.33645,0.48639999999999994,0.26085,0.6259,0.273
86,Whole_Feature,SMOTE,rf_tuned,0.9388,0.4012,0.35314999999999996,0.57605,0.7638,0.51565
87,Whole_Feature,SMOTE,rf,0.9659,0.07275,0.2222,0.0435,0.5207999999999999,0.0473
88,Whole_Feature,SMOTE,svm_tuned,0.45015,0.08635000000000001,0.048299999999999996,0.6522,0.54765,0.25255
89,Whole_Feature,SMOTE,svm,0.9278,0.15835,0.1,0.38045,0.6636500000000001,0.2971
90,Whole_Feature,ADASYN,xgb_tuned,0.8734999999999999,0.30010000000000003,0.1846,0.80435,0.84015,0.6017
91,Whole_Feature,ADASYN,xgb,0.9662999999999999,0.33645,0.48639999999999994,0.26085,0.6259,0.273
92,Whole_Feature,ADASYN,rf_tuned,0.9102,0.3574,0.2358,0.7391,0.82765,0.60885
93,Whole_Feature,ADASYN,rf,0.9659,0.07275,0.2222,0.0435,0.5207999999999999,0.0473
94,Whole_Feature,ADASYN,svm_tuned,0.8508,0.22985,0.15225,0.5651999999999999,0.7130000000000001,0.4202
95,Whole_Feature,ADASYN,svm,0.9278,0.15835,0.1,0.38045,0.6636500000000001,0.2971
96,Whole_Feature,SMOTEENN,xgb_tuned,0.84895,0.27254999999999996,0.1639,0.8261000000000001,0.8379,0.5848
97,Whole_Feature,SMOTEENN,xgb,0.9652000000000001,0.27405,0.41664999999999996,0.22824999999999998,0.60955,0.23545000000000002
98,Whole_Feature,SMOTEENN,rf_tuned,0.92155,0.35750000000000004,0.27635,0.61955,0.7758499999999999,0.52435
99,Whole_Feature,SMOTEENN,rf,0.96555,0.14705,0.22725,0.1087,0.5520499999999999,0.1147
100,Whole_Feature,SMOTEENN,svm_tuned,0.434,0.15084999999999998,0.08685000000000001,0.88045,0.6494500000000001,0.3929
101,Whole_Feature,SMOTEENN,svm,0.9175500000000001,0.14345,0.0878,0.3913,0.6636,0.2908
102,Whole_Feature,Without_balance,xgb_tuned,0.87205,0.295,0.18130000000000002,0.7935,0.83415,0.5928
103,Whole_Feature,Without_balance,xgb,0.9652000000000001,0.27405,0.41664999999999996,0.22824999999999998,0.60955,0.23545000000000002
104,Whole_Feature,Without_balance,rf_tuned,0.9252,0.3759,0.27905,0.6413,0.7882,0.5528
105,Whole_Feature,Without_balance,rf,0.96555,0.14705,0.22725,0.1087,0.5520499999999999,0.1147
106,Whole_Feature,Without_balance,svm_tuned,0.03555,0.06534999999999999,0.03375,1.0,0.50095,0.25905
107,Whole_Feature,Without_balance,svm,0.9175500000000001,0.14345,0.0878,0.3913,0.6636,0.2908
